NAME,P_201101,P_201201,P_201301,P_201401,P_201501,P_201601,P_201701,P_201801,EPS_2012,EPS_2013,EPS_2014,EPS_2015,EPS_2016,EPS_2017,GPM_2012,GPM_2013,GPM_2014,GPM_2015,GPM_2016,GPM_2017,Ops_2012,Ops_2013,Ops_2014,Ops_2015,Ops_2016,Ops_2017,EBIT_2012,EBIT_2013,EBIT_2014,EBIT_2015,EBIT_2016,EBIT_2017,NPM_2012,NPM_2013,NPM_2014,NPM_2015,NPM_2016,NPM_2017,IBD_2012,IBD_2013,IBD_2014,IBD_2015,IBD_2016,IBD_2017,ROE_2012,ROE_2013,ROE_2014,ROE_2015,ROE_2016,ROE_2017,ROA_2012,ROA_2013,ROA_2014,ROA_2015,ROA_2016,ROA_2017,DPS_2012,DPS_2013,DPS_2014,DPS_2015,DPS_2016,DPS_2017,BV_2012,BV_2013,BV_2014,BV_2015,BV_2016,BV_2017,Payout_2012,Payout_2013,Payout_2014,Payout_2015,Payout_2016,Payout_2017,CAGR_P,CAGR_EPS,CAGR_GPM,CAGR_Ops,CAGR_EBIT,CAGR_NPM,CAGR_IRD,CAGR_ROE,CAGR_ROA,CAGR_DPS,CAGR_BV,CAGR_Payout,sector,sector_code,business_group
FANCY,2.04,1.87,1.75,1.68,2,2.7,2.78,1.7,-0.15,0.06,0.04,-0.16,-0.24,-0.14,16.18,9.29,4.27,16.07,2.59,5.97,10.85,12.98,11.3,13.18,29.93,41.3,0,0,0,0,-0.11,-0.09,-17.88,9.53,5.03,-16.02,-23.49,-11.53,,0.01,,0.09,0.22,0.09,-5.3,2.13,1.59,-6.13,-10.9,-6.68,-5.22,2.08,1.55,-5.58,-8.8,-5.49,,0.1,0.05,,,,2.68,2.74,2.68,2.51,2.19,2.03,,166.67,125,,,,8.253173771,1.299136822,-18.07540881,30.64839,-564.7399836,6.26790616,,-5.872124449,-1.052618927,,-5.405944849,,สินค้าอุปโภคบริโภค,1,ของใช้ในครัวเรือนและสำนักงาน
KYE,215,179,263,240,260,273,393,470,38.9,23,42.13,38.27,60.72,32.69,16.43,12.69,14.52,14.55,17.89,15.83,12.24,13.32,15.34,14.79,13.51,13.01,0,,,,,,8.96,5.98,10.68,9.56,14.75,8.33,,,,,,,21.32,11.63,19.66,16.09,22.73,11.32,14.11,8.13,14.26,11.81,17.05,8.75,19.55,11.5,21.07,21.07,21.07,21.07,196.38,199.3,229.37,246.4,287.85,289.79,50.26,50,50.01,55.06,34.7,64.45,17.03288307,-3.418696203,-0.741449515,1.227655,,-1.434566931,,-11.89632666,-9.105290272,1.508767521,8.09259114,5.101881555,สินค้าอุปโภคบริโภค,1,ของใช้ในครัวเรือนและสำนักงาน
MODERN,50,5.7,7.7,8.4,9.9,7.9,5.9,5.5,0.57,0.57,1.05,0.88,0.23,0.29,40.62,41.05,35.55,34.25,26.33,31.52,28.38,26.4,29.45,27.5,30.77,29.42,0.01,0.02,0.02,0.02,0.02,0.01,13.53,12.3,20.95,17.42,5.81,7.19,0.03,0,0.01,0.05,0.06,0.07,16.96,15.86,28.66,25.34,6.96,8.68,12.15,10.77,16.71,14.33,4.47,5.71,0.5,0.55,0.55,0.5,0.25,0.25,3.49,3.72,3.58,3.39,3.24,3.38,87.72,96.49,52.38,56.82,108.7,86.21,0.692107592,-12.6416086,-4.944413962,0.722398,-5.746671101,-11.877138,20.26205063,-12.53809478,-14.01172199,-12.94494367,-0.627984057,-0.34723061,สินค้าอุปโภคบริโภค,1,ของใช้ในครัวเรือนและสำนักงาน
SABINA,113,111,24.4,22.6,23.7,23,23.6,23.7,0.32,0.34,0.42,0.48,0.51,0.7,49.74,51.26,53,52.14,52.79,50.91,,26.46,33.49,31.63,37.78,40.88,0.12,0.1,0.07,0.04,0.01,0,5.54,5.38,6.82,7.21,7.37,9.13,0.45,0.38,0.28,0.13,0.06,0.06,8.45,8.15,9.67,10.25,10.28,13.32,5.07,5.14,6.39,7.32,7.89,10.51,0.12,0.13,0.17,0.19,0.24,0.82,4.03,4.24,4.51,4.79,5.05,5.45,35.94,38.24,40.48,39.58,47.06,117.14,-26.63012066,16.94714187,0.46595927,,-47.864293,10.53080433,-33.94692527,9.544603847,15.71526403,48.12323976,6.217559655,26.65828116,สินค้าอุปโภคบริโภค,1,แฟชั่น
SIAM,2.88,3.18,3.12,2.2,2.3,3,2.84,2.3,0.02,-0.38,-0.1,-0.1,-0.05,-0.08,17.14,14.49,19.01,19.01,22.64,21.45,16.64,14.69,14.77,19.51,13.71,15.27,-0.03,-0.01,-0.02,-0.02,-0.02,-0.02,0.26,-10.63,-3.56,-3.56,-1.65,-2.99,,0,0.02,0.1,0.27,0.1,0.36,-9.3,-2.56,-2.56,-1.37,-2.09,0.26,-7.21,-2.07,-2.07,-0.98,-1.34,,,,,0.01,0.01,4.31,3.94,3.84,3.84,3.86,3.79,,,,,-20,-12.5,-2.236161707,-231.9507911,4.58834677,-1.70371,7.695439872,-262.7129893,,-242.1920948,-238.5174027,,-2.514268242,,สินค้าอุปโภคบริโภค,1,ของใช้ในครัวเรือนและสำนักงาน
SITHAI,10.3,8.45,29.5,15.6,2.4,2.16,1.8,1.49,0.2,0.18,0.17,0.16,0.09,0.02,21.87,19.59,19.18,18.92,17,14.77,15.87,17.11,18.83,17.05,15.79,14.34,0.21,0.28,0.31,0.26,0.47,0.86,6.19,5.18,4.82,4.56,2.76,0.44,0.76,0.89,0.9,0.94,0.66,1.05,13.37,11.37,10.63,9.65,5.45,0.94,6.22,5.01,4.55,4.12,2.29,0.38,0.11,0.1,0.1,0.1,0.1,0.05,1.56,1.6,1.66,1.74,1.73,1.58,55,55.56,58.82,62.5,111.11,250,-26.60218031,-36.90426555,-7.540518328,-2.00714,33.16106117,-40.9914897,6.529676781,-41.14550977,-42.68795606,-14.58867409,0.287987236,35.367829,สินค้าอุปโภคบริโภค,1,ของใช้ในครัวเรือนและสำนักงาน
SUC,38.25,30.5,40,35.75,40,37.25,39.5,43.75,4.17,3.24,3.46,3.16,4.56,4.64,10.13,13.57,12.98,14.36,15.11,13.75,11.97,10.99,13.1,10.43,10.86,11.33,-0.81,0.23,0.06,0.03,0.02,0.03,12.96,9.8,10.31,9.01,12.04,12.52,0.19,0.04,0.06,0.04,0.05,0.08,7.65,5.59,5.71,5.06,7.05,6.9,5.32,4.18,4.6,4.01,5.55,5.42,1.5,2,1.75,1.5,,,55.88,59.95,61.33,63.76,65.76,68.55,35.97,61.73,50.58,47.47,,,5.307536012,2.158941664,6.29660228,-1.09297,15.34191892,-0.69494752,-14.9471642,-2.04297616,0.375883163,,4.174434655,,สินค้าอุปโภคบริโภค,1,แฟชั่น
TOG,3.86,2.8,3.44,3.6,5.5,5.65,8.45,7.95,0.32,0.33,0.43,0.48,0.53,0.39,17.36,21.01,24.22,24.32,25.68,25.54,15.1,14.81,13.65,12.59,26.17,12.78,0.11,0.04,0.01,0.01,0.01,0.01,10.65,9.46,11.1,12.47,12.84,9.68,0.14,0.05,0.05,0.05,0.14,0.27,9.87,9.4,12.02,13.06,13.7,9.91,7.77,7.51,9.62,10.31,10.34,7.02,0.23,0.2,0.35,0.38,0.42,0.4,3.42,3.52,3.62,3.79,3.91,3.9,71.88,60.61,81.4,79.17,79.25,102.56,24.72104342,4.035827463,8.028887254,-3.28123,-34.29912817,-1.893015458,13.22407336,0.080151987,-2.025809212,11.70340998,2.618424028,7.370136522,สินค้าอุปโภคบริโภค,1,ของใช้ส่วนตัวและเวชภัณฑ์
BKI,248,220,300,367,366,355,345,358,6.24,16.42,21.58,22,22.78,22.57,,,,,,,11.54,12.05,10.72,9.12,8.4,8.01,,,,,,,5.52,14.14,17.59,17.44,18.15,17.84,,,,,,,3.44,8.32,9.26,7.5,7.17,7.03,1.22,3.25,4.41,4.15,4.16,4.09,8.57,8.57,12,12,14,14,191.4,203.56,262.72,323.62,312.33,330.1,137.46,52.2,55.61,54.55,61.46,62.03,9.415609226,29.33893161,,-7.04231,#DIV/0!,26.45303817,,15.38712393,27.36694358,10.31009398,11.51628061,-14.71238195,ธุรกิจการเงิน,2,ประกันภัยและประกันชีวิต
BLA,29.75,46.75,64,65.5,44.5,55.5,52.75,35,2.21,2.59,1.56,2.41,3,2.13,,,,,,,,,5.32,4.43,4.02,4.33,,,,,,,9.24,9.43,4.31,7.42,9.21,6.45,,,,,,,22.64,21,11.08,15.63,16.95,10.09,2.91,2.77,1.37,1.77,1.92,1.23,0.51,0.65,0.46,0.64,0.75,0.75,11.54,13.12,15.06,15.84,19.53,22.69,23.23,25.14,29.49,26.56,25,35.21,2.444387392,-0.773281609,,,,-6.936305161,,-14.92656384,-15.81236732,7.837285655,14.48241713,8.677670092,ธุรกิจการเงิน,2,ประกันภัยและประกันชีวิต
