Indicator Category,Indicator Code,Indicator,Reporting Economy Code,Reporting Economy,Partner Economy Code,Partner Economy,Product/Sector Classification Code,Product/Sector Classification,Product/Sector Code,Product/Sector,Period Code,Period,Frequency Code,Frequency,Unit Code,Unit,Year,Value Flag Code,Value Flag,Text Value,Value
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2017,,,,75525.751
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2012,,,,49722.281
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2014,,,,55535.686
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2013,,,,58776.399
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2015,,,,61758.795
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2016,,,,67792.888
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC,Transport,A,Annual,A,Annual,USM,Million US dollar,2014,,,,5723.25
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC,Transport,A,Annual,A,Annual,USM,Million US dollar,2013,,,,6144.03
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC,Transport,A,Annual,A,Annual,USM,Million US dollar,2012,,,,5923.5
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC,Transport,A,Annual,A,Annual,USM,Million US dollar,2015,,,,5743.47
