<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190916,10.84,10.88,10.84,10.87,1000
BMSCG,20190916,8.37,8.37,8.31,8.31,10000
BMSCITH,20190916,12.26,12.26,12.16,12.21,198100
BSET100,20190916,10.82,10.83,10.76,10.8,30700
CHINA,20190916,5.5,5.5,5.47,5.47,85300
EBANK,20190916,5.26,5.26,5.19,5.19,200
EICT,20190916,5.36,5.36,5.36,5.36,800
ENY,20190916,7.47,7.47,7.47,7.47,100
ESET50,20190916,5.86,5.86,5.86,5.86,800
GLD,20190916,1.95,1.95,1.93,1.94,209000
TDEX,20190916,11.05,11.05,10.93,10.97,26500
TGOLDETF,20190916,4.25,4.25,4.23,4.23,28700
2S,20190916,2.32,2.32,2.28,2.3,228100
7UP,20190916,0.6,0.6,0.58,0.59,5849800
A,20190916,6.25,6.25,6.2,6.25,12000
AAV,20190916,3.2,3.22,3.16,3.16,3900600
ABICO,20190916,4.2,4.2,4.2,4.2,5100
ABM,20190916,0.84,0.88,0.83,0.88,148600
ABPIF,20190916,4.74,4.84,4.72,4.82,1365900
ACAP,20190916,1.97,1.98,1.95,1.95,1700200
ACC,20190916,0.67,0.69,0.67,0.68,145700
ACG,20190916,1.42,1.43,1.4,1.41,581100
ADB,20190916,0.59,0.6,0.58,0.58,136600
ADVANC,20190916,222,224,221,223,7205100
AEC,20190916,0.35,0.35,0.32,0.32,1263000
AEONTS,20190916,216,218,214,214,167500
AF,20190916,0.65,0.66,0.65,0.65,14300
AGE,20190916,1,1,0.99,1,460200
AH,20190916,18.1,18.2,17.9,18.1,203200
AHC,20190916,15.7,15.7,15.4,15.4,800
AI,20190916,1.21,1.22,1.2,1.2,3528500
AIE,20190916,0.47,0.47,0.45,0.47,7934900
AIMCG,20190916,10,10,9.95,10,294200
AIMIRT,20190916,14.8,14.8,14.7,14.8,747300
AIRA,20190916,1.3,1.31,1.29,1.31,89900
AIT,20190916,21.7,21.8,21.7,21.7,24600
AJ,20190916,8.25,8.3,8.2,8.3,12800
AJA,20190916,0.19,0.19,0.19,0.19,699900
AKP,20190916,1.42,1.42,1.39,1.4,252000
AKR,20190916,0.78,0.78,0.76,0.77,658100
ALL,20190916,4.22,4.28,4.12,4.12,2572300
ALLA,20190916,1.19,1.19,1.17,1.19,173300
ALT,20190916,2.5,2.5,2.48,2.48,11500
ALUCON,20190916,166,166,166,166,100
AMA,20190916,7.55,7.55,6.95,6.95,3089900
AMANAH,20190916,2.78,3.06,2.78,3.06,50421600
AMARIN,20190916,4.88,4.92,4.82,4.82,33100
AMATA,20190916,26,26.5,25.75,25.75,5805500
AMATAR,20190916,12.6,12.7,12.5,12.7,109400
AMATAV,20190916,4.84,4.88,4.84,4.86,64200
AMC,20190916,1.85,1.88,1.85,1.88,122400
ANAN,20190916,3.26,3.34,3.26,3.26,2669600
AOT,20190916,72,73.5,71.75,73.5,17273500
AP,20190916,7.2,7.2,6.95,6.95,6479900
APCO,20190916,3.32,3.32,3.28,3.3,45300
APCS,20190916,4.18,4.18,4.1,4.12,330200
APEX,20190916,0.17,0.17,0.17,0.17,206200
APURE,20190916,0.92,0.92,0.91,0.92,34200
AQ,20190916,0.02,0.03,0.02,0.02,1368400
AQUA,20190916,0.52,0.52,0.5,0.51,8485900
ARIN,20190916,0.69,0.7,0.66,0.67,2885300
ARIP,20190916,0.44,0.44,0.43,0.44,60600
ARROW,20190916,9.15,9.2,9.15,9.15,82600
AS,20190916,0.82,0.85,0.82,0.85,41300
ASAP,20190916,2.82,2.86,2.78,2.8,283600
ASEFA,20190916,4.78,4.78,4.7,4.74,33700
ASIA,20190916,6.5,6.55,6.45,6.45,20500
ASIAN,20190916,6.15,6.15,6.05,6.05,138700
ASIMAR,20190916,1.54,1.57,1.48,1.48,1086600
ASK,20190916,26,26.5,26,26.5,162800
ASN,20190916,5.25,5.55,5.25,5.55,300
